Link,https://www.imdb.com/trailers/?ref_=nv_mv_tr

Title and Year,Description,Director,Actors,For Adults?,Poster,Trailer
Hustlers (2019),Inspired by the viral New York Magazine article  Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients.,Lorene Scafaria,["Constance Wu" "Jennifer Lopez" "Julia Stiles" "Mette Towley"],false,https://m.media-amazon.com/images/M/MV5BNjM5ZTNiNGMtMDA2OC00MDYyLWEyNzAtOWZmMzFlY2VmOWM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi2881470233/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Sordo (2019),,Alfonso Cortés-Cavanillas,["Asier Etxeandia" "Ruth Díaz" "Stephanie Gil" "Hugo Silva"],false,https://m.media-amazon.com/images/M/MV5BNzI5N2E0MzQtZGUxYi00MGE1LWE5MWUtMzVjMWIwMGI3MWM2XkEyXkFqcGdeQXVyMTAwMDY1MzQ3._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1606401817/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Les sauvages (2019-),,Not Found,["Dali Benssalah" "Amira Casar" "Marina Foïs" "Souheila Yacoub"],false,Not Found,https://www.imdb.com/video/imdb/vi1472118553/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
La vérité (2019),About a stormy reunion between a daughter and her actress mother  Catherine  against the backdrop of Catherine's latest role in a sci-fi picture as a mother who never grows old.,Hirokazu Koreeda,["Catherine Deneuve" "Juliette Binoche" "Ethan Hawke" "Clémentine Grenier"],false,https://m.media-amazon.com/images/M/MV5BM2E0ZjliM2ItMjE4NS00MjUwLTk0ZTItNzIzYjBkMDRjN2ZlXkEyXkFqcGdeQXVyMTQ5Mzc5MDU@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1405009689/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Uzumaki (2020-),A town of people slowly go insane over increasing obsessions with spiral shapes: patterns in the clouds  everyday objects  hair  insects  skin.,Not Found,[],false,https://m.media-amazon.com/images/M/MV5BNzZiYTM4N2MtNzQ5NC00ODllLThkYzAtOGFjNDZjYzcxNDNiXkEyXkFqcGdeQXVyNjU1OTg4OTM@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2579349273/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Rhythm + Flow,Global superstars Cardi B  Chance the Rapper  and T.I. search for the next breakout hip-hop star.,Not Found,["Cardi B" "Matthew Carter" "Chance the Rapper" "T.I."],false,https://m.media-amazon.com/images/M/MV5BY2RlNzYzZDktZjAwMi00MWRhLThmMzYtM2E4MzJmN2U0NjJlXkEyXkFqcGdeQXVyOTg1NzI1ODc@._V1_UY231_CR1,https://www.imdb.com/video/imdb/vi1908260633/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Suits (2011-),On the run from a drug deal gone bad  Mike Ross  a brilliant college dropout  finds himself a job working with Harvey Specter  one of New York City's best lawyers.,Not Found,["Gabriel Macht" "Patrick J. Adams" "Meghan Markle" "Sarah Rafferty"],false,https://m.media-amazon.com/images/M/MV5BNmVmMmM5ZmItZDg0OC00NTFiLWIxNzctZjNmYTY5OTU3ZWU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1035774745/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
De De Pyaar De (2019),A 50-year-old single father faces disapproval from his family and his ex-wife when he falls in love with a 26-year-old woman.,Akiv Ali,["Ajay Devgn" "Tabu" "Rakul Preet Singh" "Jimmy Sheirgill"],false,https://m.media-amazon.com/images/M/MV5BOTRiYzExNWItNDk4ZS00Y2RiLTgwNmUtODI5N2FmOGM5NzM3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi383368217/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Student of the Year 2 (2019),A student must face off against bullies and overcome hurdles  both academic and romantic  to win his college's coveted Student of the Year trophy.,Punit Malhotra,["Tiger Shroff" "Tara Sutaria" "Ananya Panday" "Aditya Seal"],false,https://m.media-amazon.com/images/M/MV5BNDg2NjhlZGItMGQ2Ny00NTMwLWExMmItMmVmNmNlYTA3ZTlkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3705125913/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Rick and Morty (2013-),An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,Not Found,["Justin Roiland" "Chris Parnell" "Spencer Grammer" "Sarah Chalke"],false,https://m.media-amazon.com/images/M/MV5BMjRiNDRhNGUtMzRkZi00MThlLTg0ZDMtNjc5YzFjYmFjMmM4XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi2748823833/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Black Mirror (2011-),An anthology series exploring a twisted  high-tech world where humanity's greatest innovations and darkest instincts collide.,Not Found,["Daniel Lapaine" "Hannah John-Kamen" "Michaela Coel" "Beatrice Robertson-Jones"],false,https://m.media-amazon.com/images/M/MV5BYTM3YWVhMDMtNjczMy00NGEyLWJhZDctYjNhMTRkNDE0ZTI1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1456913433/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Gotham (2014-2019),The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,Not Found,["Ben McKenzie" "Jada Pinkett Smith" "Donal Logue" "Camren Bicondova"],false,https://m.media-amazon.com/images/M/MV5BMTU5NjQ2MTU4NV5BMl5BanBnXkFtZTgwOTYyNTAwNzM@._V1_UY231_CR1,https://www.imdb.com/video/imdb/vi4174756377/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Kirket (2019),The film depicts the story of Bihar Cricket and its starvation from playing the nationals till 2016. The film is a combination of Fact and fiction on the above topic. It narrates the struggle and achievements of our protagonist (Mr. Kirti Azad) for the same.,Yogendra Singh,["Kirti Azad" "Sonam Chhabra" "Saifullah Rehmani" "Gauri Shankar"],false,https://m.media-amazon.com/images/M/MV5BZmI4M2EzZTgtOGU5MC00ZDdkLThkZGMtNmQ5OTM1YWEwNGRmXkEyXkFqcGdeQXVyMjEzNzg4NjU@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi531152665/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
See (2019-),Far in a dystopian future  the human race has lost the sense of sight  and society has had to find new ways to interact  build  hunt  and to survive. All of that is challenged when a set of twins is born with sight.,Not Found,["Alfre Woodard" "Christian Camargo" "Nesta Cooper" "Yadira Guevara-Prip"],false,https://m.media-amazon.com/images/M/MV5BYWI2ZmM5ZTgtOTgxYS00MTQ4LThkMjQtZjBlNGM3NjQ5YTI5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1739046681/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Portrait de la jeune fille en feu (2019),On an isolated island in Brittany at the end of the eighteenth century  a female painter is obliged to paint a wedding portrait of a young woman.,Céline Sciamma,["Noémie Merlant" "Adèle Haenel" "Luàna Bajrami" "Valeria Golino"],false,https://m.media-amazon.com/images/M/MV5BNjgwNjkwOWYtYmM3My00NzI1LTk5OGItYWY0OTMyZTY4OTg2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi94879513/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Lighthouse (2019),The hypnotic and hallucinatory tale of two lighthouse keepers on a remote and mysterious New England island in the 1890s.,Robert Eggers,["Willem Dafoe" "Robert Pattinson" "Valeriia Karaman"],false,https://m.media-amazon.com/images/M/MV5BZmE0MGJhNmYtOWNjYi00Njc5LWE2YjEtMWMxZTVmODUwMmMxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi195542809/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Lighthouse (2019),The hypnotic and hallucinatory tale of two lighthouse keepers on a remote and mysterious New England island in the 1890s.,Robert Eggers,["Willem Dafoe" "Robert Pattinson" "Valeriia Karaman"],false,https://m.media-amazon.com/images/M/MV5BZmE0MGJhNmYtOWNjYi00Njc5LWE2YjEtMWMxZTVmODUwMmMxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi363314969/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
La mafia non è più quella di una volta (2019),On the 25th anniversary of Capaci and via D'Amelio bombings  Franco Maresco wonders what's left of their ideals and struggles in contemporary Sicily  dwelling on its relationship with the Mafia.,Franco Maresco,["Letizia Battaglia" "Ciccio Mira" "Margherita Mannino" "Christian Miscel"],false,https://m.media-amazon.com/images/M/MV5BNTZkYzIwOGMtMzZmMC00NDhiLWE0YmMtYjc2NmVkYjk5YmUzXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1134935833/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Bianca come il latt,The story takes place in the italian city of Turin. A roman boy loses his mind for a cancer-sick girl. He will do everything as possible to make her fall in love with him and save her life.,Giacomo Campiotti,["Filippo Scicchitano" "Aurora Ruffino" "Gaia Weiss" "Romolo Guerreri"],false,https://m.media-amazon.com/images/M/MV5BYTgzNDdkYTQtMTRkMi00MGEwLTgxOTktYjVjYjExYTA4NmUxXkEyXkFqcGdeQXVyNTIzNjEzNzg@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1101381401/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Mad About You (2019-),A revival of the 1990s sitcom  'Mad About You'  centering on the trials and tribulations of a married couple living in New York.,Not Found,["Helen Hunt" "Abby Quinn" "Paul Reiser" "Omar Adam"],false,https://m.media-amazon.com/images/M/MV5BMTlhMmJkMDEtYmI3Yi00Njc5LTgyNDQtNDdjN2U2Yjc1YjA4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1604697881/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
La noche de las dos lunas (2018),In the third month of pregnancy  Federica finds out that the baby she's expecting doesn't share her DNA.,Miguel Ferrari,["Prakriti Maduro" "Mariaca Semprún" "María Barranco" "Luis Gerónimo Abreu"],false,https://m.media-amazon.com/images/M/MV5BZGUxNTcyYWItMGI0MS00YWVhLTk5YmEtZjJmNjhkZGM2NWVlXkEyXkFqcGdeQXVyMjQ2MTk5Mjc@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi598064921/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Nato a Xibet (2019),,Rosario Neri,["Enzo Campisi" "Francesco Capizzi" "Lorenza Denaro" "Elia Nicosia"],false,https://m.media-amazon.com/images/M/MV5BYTU1YTkzODktOWE4My00Y2RiLTljYmUtOWZhOWZhOGY2YWFjXkEyXkFqcGdeQXVyNTM5NTk4OTM@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi698728217/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Colomba Legend (2019),,Rosario Ner,["Maurizio Bologna" "Francesco Russo" "Gioacchino Poma" "Roberta Tranchina"],false,https://m.media-amazon.com/images/M/MV5BYWJjYzAzMmMtMTAxNS00NWRhLTkyZGYtODlhOGJlZmY3MWVmXkEyXkFqcGdeQXVyNTM5NTk4OTM@._V1_UY231_CR3,https://www.imdb.com/video/imdb/vi933609241/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Pal Pal Dil Ke Paas (2019),A young love story set in snowy hilly regions.,Sunny Deol,["Karan Deol" "Kallirroi Tziafeta" "Sahher Bambba" "Mannu Sandhu"],false,https://m.media-amazon.com/images/M/MV5BMTZhYjVmYjgtZjFiYi00MDIwLTg4MTYtMzFkMzYxY2NhY2YxXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3919888153/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Limetown (2019-),Follows Lia Haddock  a journalist for American Public Radio (APR)  as she unravels the mystery behind the disappearance of over 300 people at a neuroscience research facility in Tennessee.,Not Found,["Jessica Biel" "Omar Elba" "Sherri Saum" "Stanley Tucci"],false,https://m.media-amazon.com/images/M/MV5BZmM5MGJmNzMtM2E5Mi00ZTA2LWJjNzUtYzBlYWVlNmJiNDkzXkEyXkFqcGdeQXVyMjIwNTI1MTM@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2342829849/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Smile (2019),The young and lonesome 18year old Mercedes visits the legendary techno festival &quot Heimat&quot  for the first time in her life. She is longingly hoping for experiences of proximity  joy and intensity. Instead  she finds herself confronted with the abysses of this alleged perfect world. In the end  Mercedes sees no way out without committing an act of violence.,Steffen Köhn,["Malte Audick" "Christoph Bach" "Paul Boche" "Samia Muriel Chancrin"],false,https://m.media-amazon.com/images/M/MV5BODRjNDY3MWUtMGM1MS00NzQwLWI5NmItNzljY2MzNGNjMzJiXkEyXkFqcGdeQXVyMDMxNDMzMw@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi128237337/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Waves (2019),Two young couples navigate through the emotional minefield of growing up and falling in love.,Trey Edward Shults,["Taylor Russell" "Kelvin Harrison Jr." "Alexa Demie" "Bill Wise"],false,https://m.media-amazon.com/images/M/MV5BYjMwNDQzNWUtOTE1NC00YjY1LWE5NjktNGZhMTE1NDMzOGJmXkEyXkFqcGdeQXVyMzAxOTk1MjA@._V1_UY231_CR13,https://www.imdb.com/video/imdb/vi597933849/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Criminal (2019-),A cat-and-mouse drama  which focuses on the intense mental conflict between detectives and suspects. Comprising 12 stories set in four different countries  each takes place within the confines of a police interview suite.,Not Found,["Inma Cuesta" "Eduard Fernández" "Carmen Machi" "Emma Suárez"],false,https://m.media-amazon.com/images/M/MV5BMTM3NzQwMDUtMzIyMi00NDFjLThkM2UtNDY2NDAyYjhiNmQyXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UY231_CR9,https://www.imdb.com/video/imdb/vi228835097/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Black Christmas (2019),A group of students are stalked by a stranger during their Christmas break. A remake of the 1974 horror film 'Black Christmas'.,Sophia Takal,["Imogen Poots" "Cary Elwes" "Brittany O'Grady" "Aleyse Shannon"],false,https://m.media-amazon.com/images/M/MV5BNjg1YjI4ZjItNGU4MC00M2YyLWE4MjEtM2E4MmVmZTllOTk5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi497270553/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Monarca (2019-),A billionaire tequila magnate and his family thrive in the corrupt world that caters to Mexico's business elites.,Not Found,["Osvaldo Benavides" "Irene Azuela" "Juan Manuel Bernal" "James Hyde"],false,https://m.media-amazon.com/images/M/MV5BYjI0MWQ2ZjctYjczZS00YjcyLWFkMTEtMWEwOWU3ODdkY2EzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1570946841/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Mister America (2019),Mister America follows Heidecker's attempt to enter the world of politics. After beating a murder charge for selling faulty e-cigarettes at an EDM festival  Tim seeks revenge by running a campaign to unseat the San Bernardino District Attorney. Fueled by ego and ignorance  he tries to surmount a lack of experience  funds and likability by personally connecting with unsuspecting constituents. It does not go well.,Eric Notarnicola,["Tim Heidecker" "Gregg Turkington" "Terri Parks" "Manuel Giusti"],false,https://m.media-amazon.com/images/M/MV5BZTI1MDA1NjktZmIzNi00ZDAzLWE4YTctZDMwNTk5N2RhODRiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi2913058585/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Bad Boys for Life (2020),Marcus Burnett is now a police inspector and Mike Lowery is in a midlife crisis. They unite again when an Albanian mercenary  whose brother they killed  promises them an important bonus.,Adil El Arb,["Will Smith" "Joe Pantoliano" "Vanessa Hudgens" "Alexander Ludwig"],false,https://m.media-amazon.com/images/M/MV5BOTQwMmM5NDMtOGEyMS00NzY2LWExZmQtZjhkYTVkMGU1NTA2XkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1302445849/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Jexi (2019),A comedy about what can happen when you love your phone more than anything else in your life.,Jon Luca,["Rose Byrne" "Alexandra Shipp" "Adam Devine" "Michael Peña"],false,https://m.media-amazon.com/images/M/MV5BYWM3OTk0NTItZjBlNi00NGE3LTk4MGQtODdlMWM2OWI5MWE3XkEyXkFqcGdeQXVyMTA2MDQ3MTQ3._V1_UX156_CR,https://www.imdb.com/video/imdb/vi27377433/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Just Mercy (2019),Just Mercy shadows world-renowned civil rights defense attorney Bryan Stevenson as he recounts his experiences and details the case of a condemned death row prisoner whom he fought to free.,Destin Daniel Cretton,["Brie Larson" "Michael B. Jordan" "Jamie Foxx" "Rafe Spall"],false,https://m.media-amazon.com/images/M/MV5BMmE1NTc5ZmEtZjcyYi00ODdiLWJjM2ItYWQ3OGM5ZGMzYjM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_CR15,https://www.imdb.com/video/imdb/vi195149593/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
How to Get Away with Murder (2014-),A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,Not Found,["Viola Davis" "Billy Brown" "Jack Falahee" "Aja Naomi King"],false,https://m.media-amazon.com/images/M/MV5BMjMzNzM1MDI4NV5BMl5BanBnXkFtZTgwNjk1OTYzNjM@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1788982809/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Terminator: Dark Fate (2019),Sarah Connor and a hybrid cyborg human must protect a young girl from a newly modified liquid Terminator from the future.,Tim Miller,["Mackenzie Davis" "Arnold Schwarzenegger" "Edward Furlong" "Linda Hamilton"],false,https://m.media-amazon.com/images/M/MV5BNzhlYjE5MjMtZDJmYy00MGZmLTgwN2MtZGM0NTk2ZTczNmU5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3787112217/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Adiós (2019),,Paco Cabezas,["Mario Casas" "Natalia de Molina" "Ruth Díaz" "Carlos Bardem"],false,https://m.media-amazon.com/images/M/MV5BYWE0OWIzY2QtNTgxNS00ODA5LWFjYWUtMjg5ODY1NDM1NDk0XkEyXkFqcGdeQXVyMTM2Mzg4MA@@._V1_UY231_CR9,https://www.imdb.com/video/imdb/vi632995609/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
C'era una volta il musicarello (2018-),,Not Found,[],false,Not Found,https://www.imdb.com/video/imdb/vi867876633/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Terminator: Dark Fate (2019),Sarah Connor and a hybrid cyborg human must protect a young girl from a newly modified liquid Terminator from the future.,Tim Miller,["Mackenzie Davis" "Arnold Schwarzenegger" "Edward Furlong" "Linda Hamilton"],false,https://m.media-amazon.com/images/M/MV5BNzhlYjE5MjMtZDJmYy00MGZmLTgwN2MtZGM0NTk2ZTczNmU5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3183066905/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Tall Girl (2019),Jodi  the tallest girl in her high school  has always felt uncomfortable in her own skin. But after years of slouching  being made fun of  and avoiding attention at all costs  Jodi finally decides to find the confidence to stand tall.,Nzingha Stewart,["Ava Michelle" "Griffin Gluck" "Sabrina Carpenter" "Paris Berelc"],false,https://m.media-amazon.com/images/M/MV5BMDI3YmEwOTItNDEyNC00MGNlLWJiMjEtMzc0MTJjZmM1NGEzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi934919961/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Spy (2019),Based on the life of the Israeli spy  Eli Cohen.,Not Found,["Sacha Baron Cohen" "Hadar Ratzon Rotem" "Yael Eitan" "Noah Emmerich"],false,https://m.media-amazon.com/images/M/MV5BM2ZmYjUxZDYtMmZlMi00YjlkLTkwNTItMjcxZDRlOTI3ZTNmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3820601113/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Sex and the City 2 (2010),While wrestling with the pressures of life  love  and work in Manhattan  Carrie  Miranda  and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates)  where Samantha's ex is filming a new movie.,Michael Patrick King,["Sarah Jessica Parker" "Kim Cattrall" "Kristin Davis" "Cynthia Nixon"],false,https://m.media-amazon.com/images/M/MV5BMTM3OTUyNTI3MF5BMl5BanBnXkFtZTcwODcyMzM0Mw@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi196609817/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
It Chapter Two (2019),Twenty-seven years after their first encounter with the terrifying Pennywise  the Losers Club have grown up and moved away  until a devastating phone call brings them back.,Andy Muschietti,["Jessica Chastain" "James McAvoy" "Bill Hader" "Isaiah Mustafa"],false,https://m.media-amazon.com/images/M/MV5BYTJlNjlkZTktNjEwOS00NzI5LTlkNDAtZmEwZDFmYmM2MjU2XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1974910745/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Mr. Robot (2015-),Elliot  a brilliant but highly unstable young cyber-security engineer and vigilante hacker  becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.,Not Found,["Rami Malek" "Christian Slater" "Portia Doubleday" "Carly Chaikin"],false,https://m.media-amazon.com/images/M/MV5BMzgxMmQxZjQtNDdmMC00MjRlLTk1MDEtZDcwNTdmOTg0YzA2XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi699842329/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Star Wars: The Rise of Skywalker (2019),The surviving Resistance faces the First Order once more in the final chapter of the Skywalker saga.,J.J. Abrams,["Billie Lourd" "Adam Driver" "Daisy Ridley" "Mark Hamill"],false,https://m.media-amazon.com/images/M/MV5BZWU1NDI3YjEtZTlmMy00Y2FmLWI1ZDYtMjYwNDUxYTdlODllXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1874116377/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
American Horror Story (2011-),An anthology series centering on different characters and locations  including a house with a murderous past  an insane asylum  a witch coven  a freak show  a hotel  a possessed farmhouse  a cult  the apocalypse and a summer camp.,Not Found,["Lady Gaga" "Kathy Bates" "Angela Bassett" "Sarah Paulson"],false,https://m.media-amazon.com/images/M/MV5BYzRjNjlmMDUtMWFlOS00MmEwLTgwNjItNDI0YmY5NTY2M2YwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_CR1,https://www.imdb.com/video/imdb/vi3484729113/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Castle Rock (2018-),Based on the stories of Stephen King  the series intertwines characters and themes from the fictional town of Castle Rock.,Not Found,["André Holland" "Melanie Lynskey" "Bill Skarsgård" "Jane Levy"],false,https://m.media-amazon.com/images/M/MV5BMjMzMDYxNzA3MV5BMl5BanBnXkFtZTgwNDAzNDQ4NTM@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1068416793/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Cuernavaca (2017),The coming of age story of a boy that after a traumatic event is taken to beautiful Cuernavaca  where he has to find his father while trying to adapt to life with his grandmother  who has problems of her own.,Alejandro Andrade,["Moisés Arizmendi" "Mariana Gajá" "Diego Alvarez Garcia" "Carmen Maura"],false,https://m.media-amazon.com/images/M/MV5BMDczNmNhMmUtMzRkNy00ZjE1LWIxZTYtNzQ4MWNmZWViNGI0XkEyXkFqcGdeQXVyNjAwODc1NzA@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3282943769/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Radioactive (2019),A story of the scientific and romantic passions of Marie Sklodowska-Curie (Polish scientist) and Pierre Curie  and the reverberation of their discoveries throughout the 20th century.,Marjane Satrapi,["Anya Taylor-Joy" "Rosamund Pike" "Aneurin Barnard" "Sam Riley"],false,https://m.media-amazon.com/images/M/MV5BYjgwM2JhNjItNjFlYi00MjYwLTlhYWEtZjk2NzcwYmZmYTg0XkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3719151385/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Countdown (2019),When a nurse downloads an app that claims to predict the moment a person will die  it tells her she only has three days to live. With the clock ticking and a figure haunting her  she must find a way to save her life before time runs out.,Justin Dec,["Anne Winters" "Elizabeth Lail" "Charlie McDermott" "Peter Facinelli"],false,https://m.media-amazon.com/images/M/MV5BMmQ2Y2VmNmUtMzYzYS00ZDM1LTk3NTMtYzM1NWQ0ZDBhMjYzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2813181721/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Santa Clara (2019),Santiago  a man in his 40's works as a cowboy  lives in the outsides of remote village in Beni. His past is unclear  rumors say that he's a fugitive  an assassin or a bandit. A work offer of driving a 2000 cattle herd to the Santa Clara ranch that is really far comes one day. Is a well-paid job offer  and he's the only one that can do it  he needs the money  but going to Santa Clara will force him to leave his past behind or finally take revenge from those who forced him to the exile.,Pedro Antonio Gutiérrez,["Cristian Mercado" "Jorge Arturo Lora" "Hugo Francisquini" "Silvana Continanza"],false,https://m.media-amazon.com/images/M/MV5BNTc3NTY0NjgtNmZiOC00YmMyLWE2MmEtZTMxNGEyYWMyNTAyXkEyXkFqcGdeQXVyMTAxNTg1Nzk4._V1_UY231_CR,https://www.imdb.com/video/imdb/vi2947399449/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
